LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID106319,106319,10,0.5009225010871887,981.2748688761445,571.6177426302728,0.0,0.0,0,7.5,1,,193.78733031674207,193.0,169.0,216.0,42827.0,8.241525819919197,0.009261441297073089,0.431541581460181
ID106318,106318,11,0.5134216547012329,1455.1870745179062,550.4894823821753,0.0,0.0,0,7.5,1,,185.50226244343892,185.0,168.0,211.0,40996.0,8.223925425460619,0.008225327928777927,0.3680405416303877
ID106321,106321,0,0.8516838550567627,673.8756469604264,632.7800886946632,0.0,0.0,0,7.5,1,,199.3846153846154,198.0,178.0,232.0,44064.0,10.51585549459561,0.0178131581765609,0.6636664969966256
ID106320,106320,1,1.1056171655654907,459.65675643750666,573.5018929442554,0.0,0.0,0,7.5,1,,198.78733031674207,197.0,168.0,230.0,43932.0,10.575487206676426,0.029443671344145342,1.0752456296745698
ID106323,106323,2,1.5396188497543335,1471.8519189543836,783.9618133128221,0.0,0.0,0,7.5,1,,194.0452488687783,190.0,163.0,239.0,42884.0,15.926471319403518,0.03592758648234885,0.8451077619884246
ID106322,106322,3,1.02188241481781,1524.7022331192572,643.856785792742,0.0,0.0,0,7.5,1,,187.10407239819006,184.0,166.0,235.0,41350.0,12.118469438093546,0.02118994391144829,0.6407501870344107
ID106325,106325,4,0.5717074275016785,1298.3885467285752,826.3788004036412,0.0,0.0,0,7.5,1,,188.59276018099547,188.0,170.0,217.0,41679.0,7.76101809637276,0.011363163210804357,0.5460449935145768
ID106324,106324,5,0.6048502922058105,635.1427191041538,787.6771423975772,0.0,0.0,0,7.5,1,,194.2398190045249,194.0,174.0,219.0,42927.0,7.624806880642401,0.012545392749811611,0.6312613097350938
ID106327,106327,6,1.1343681812286377,1511.908735670685,846.2121057833228,0.0,0.0,0,7.5,1,,191.51131221719456,188.0,164.0,236.0,42324.0,14.494704631732521,0.030461386250377587,0.7811474132143114
ID106326,106326,7,0.6072717308998108,1458.2252203822666,837.5982628658616,0.0,0.0,0,7.5,1,,186.35294117647058,186.0,168.0,204.0,41184.0,7.777727696978228,0.014016695135411851,0.6623904083737995
ID106329,106329,8,0.8488756418228149,876.3035778021331,893.9117050444187,0.0,0.0,0,7.5,1,,192.89140271493213,191.0,170.0,228.0,42629.0,10.981263726158618,0.018000445045074354,0.6211919515922857
ID106328,106328,9,0.528734564781189,1559.0681806136872,867.8274362017402,0.0,0.0,0,7.5,1,,181.0316742081448,180.0,159.0,210.0,40008.0,7.1474020329522485,0.010239542452996714,0.5134433573678362
ID106373,106373,10,0.5226434469223022,981.921491214217,570.6885504349038,0.0,1.0,1,7.5,1,,193.24886877828055,193.0,169.0,220.0,42708.0,8.303151706429036,0.009402693044735972,0.4336025050453457
ID106372,106372,11,0.557043731212616,1452.6556843611072,551.0255511387137,0.0,1.0,1,7.5,1,,186.02714932126696,185.0,167.0,211.0,41112.0,8.455185903034577,0.008896096019052098,0.38800398505561423
ID106375,106375,0,0.6677583456039429,675.5032279793313,633.3340102597044,0.0,1.0,1,7.5,1,,196.99547511312218,197.0,177.0,236.0,43536.0,8.954175124465964,0.014195735164364813,0.6158809500257411
ID106374,106374,1,1.1904714107513428,459.23672372870584,573.6366748091954,0.0,1.0,1,7.5,1,,199.19004524886878,198.0,163.0,244.0,44021.0,10.993803647250887,0.03120077047615452,1.0964068487360428
ID106377,106377,,0.49432671070098877,1035.0151285027137,662.2024094014832,0.0,1.0,1,7.5,1,,192.84615384615384,193.0,175.0,210.0,42619.0,7.217015635656798,0.00967958956709582,0.5123381511443754
ID106376,106376,3,0.9493461847305298,1524.4459229325873,643.2848977332898,0.0,1.0,1,7.5,1,,185.08597285067873,183.0,163.0,239.0,40904.0,12.714588349221875,0.017380146181805844,0.49736058413782447
ID106379,106379,5,0.5248956680297852,635.6617895581645,788.801413324004,0.0,1.0,1,7.5,1,,193.20361990950227,193.0,172.0,211.0,42698.0,7.353365680876532,0.01181756809340094,0.6137407909251239
ID106378,106378,2,1.484096884727478,1472.0640163148478,784.5261137290105,0.0,1.0,1,7.5,1,,194.09049773755657,191.0,168.0,239.0,42894.0,15.297681054990722,0.036068187170522334,0.8833740625168044
ID106381,106381,7,0.641735315322876,1456.2959326171976,834.9598149359149,0.0,1.0,1,7.5,1,,185.86877828054298,185.0,167.0,208.0,41077.0,8.059775140709489,0.014300702253851287,0.650285623534063
ID106380,106380,4,0.5744024515151978,1298.1344893918986,826.7047361895551,0.0,1.0,1,7.5,1,,188.02714932126696,188.0,173.0,208.0,41554.0,7.462584582761835,0.01102442493222057,0.5494846790970592
ID106383,106383,9,0.530945897102356,1558.6231901598512,868.5497837533202,0.0,1.0,1,7.5,1,,181.71945701357467,181.0,163.0,205.0,40160.0,8.039280365476422,0.010909798223081645,0.48788623335186154
ID106382,106382,6,1.1255264282226562,1510.7850732693073,841.6778935041776,0.0,1.0,1,7.5,1,,191.17194570135746,188.0,167.0,237.0,42249.0,14.167418778076756,0.03058452545421078,0.8009060121622923
ID106385,106385,8,0.7599281072616577,871.176207499353,896.5060045465218,0.0,1.0,1,7.5,1,,191.49321266968326,190.0,171.0,228.0,42320.0,10.041559055654776,0.015148892556666953,0.5691586943854867
