LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID87649,87649,,0.8672261834144592,768.1523449346082,852.828866366875,0.0,0.0,0,7.5,1,,188.25339366515837,187.0,169.0,210.0,41604.0,8.235127077109464,0.027799113338992838,1.2365885188990542
ID87648,87648,,0.8258212208747864,313.2347780811961,774.3951721472499,0.0,0.0,0,7.5,1,,178.80995475113122,179.0,156.0,207.0,39517.0,7.531756435118121,0.029068747197985377,1.3412426278135268
ID87639,87639,0,1.4803664684295654,1249.09965203736,14.03217510427588,0.0,0.0,0,7.5,1,,180.29864253393666,179.0,149.0,220.0,39846.0,12.946443806691432,0.042579438952225594,1.1375296901722645
ID87641,87641,,0.729356586933136,966.4581069805201,85.95287481523472,0.0,0.0,0,7.5,1,,175.47511312217193,175.0,155.0,230.0,38780.0,10.839975075904745,0.012292959357474646,0.39315832177128
ID87640,87640,1,1.1948193311691284,434.7817708865014,36.363357044441045,0.0,0.0,0,7.5,1,,170.99547511312218,168.0,151.0,233.0,37790.0,14.029351613850858,0.026447968151444897,0.6281051984509363
ID87643,87643,2,1.0787856578826904,78.1713218605911,103.04722668576804,0.0,0.0,0,7.5,1,,156.26244343891403,154.0,135.0,200.0,34534.0,12.075666418753599,0.03012103530317811,0.7567547204348318
ID87642,87642,3,1.5237361192703247,1187.5423875074257,90.43868675544124,0.0,0.0,0,7.5,1,,186.0452488687783,184.0,159.0,221.0,41116.0,12.979975401172968,0.04520889687980614,1.2399253018826935
ID87645,87645,4,0.969757080078125,435.75337813704493,502.79361725388355,0.0,0.0,0,7.5,1,,180.34389140271495,178.0,160.0,263.0,39856.0,13.183644180539085,0.02107699429100455,0.564736874126492
ID87644,87644,5,1.0033719539642334,837.070205084137,315.12466334801564,0.0,0.0,0,7.5,1,,184.9683257918552,183.0,162.0,234.0,40878.0,12.285020124404094,0.019546823864317494,0.5773251972043547
ID87647,87647,6,3.114344358444214,1043.8156706699233,744.7406046925497,0.0,0.0,0,7.5,1,,206.47511312217193,193.0,162.0,357.0,45631.0,33.43549509688033,0.06760096276171063,0.782048836707329
ID87646,87646,7,1.1097639799118042,809.8289066264811,528.1207768415752,0.0,0.0,0,7.5,1,,190.36651583710406,188.0,163.0,254.0,42071.0,13.871703083680591,0.020867651803219,0.5610414025040548
ID87697,87697,6,2.5173490047454834,1045.5406616383914,744.8981164595942,0.0,1.0,1,7.5,1,,204.1266968325792,196.0,168.0,329.0,45112.0,23.815240774142914,0.06248039558891387,1.0080862058620987
ID87696,87696,7,1.0831636190414429,817.5927096312913,526.4424473221451,0.0,1.0,1,7.5,1,,190.4841628959276,188.0,170.0,254.0,42097.0,14.323089206232988,0.02234539125270517,0.5813564461332366
ID87691,87691,1,1.1472126245498657,431.7692564739622,37.81862520424362,0.0,1.0,1,7.5,1,,170.18099547511312,168.0,145.0,226.0,37610.0,13.020396618207679,0.02580505587923712,0.6575924380259485
ID87690,87690,0,1.2350260019302368,1250.3890970718255,8.94968456182538,0.0,1.0,1,7.5,1,,179.7239819004525,178.0,151.0,212.0,39719.0,10.884969389844548,0.06064055276465774,1.8880076040038407
ID87693,87693,2,1.2310696840286255,82.53954292342394,110.77237712840588,0.0,1.0,1,7.5,1,,157.48868778280544,154.0,138.0,201.0,34805.0,12.561344332995473,0.03468451790574056,0.8405643196167074
ID87692,87692,3,1.5432024002075195,1187.9673737437745,90.01757373101023,0.0,1.0,1,7.5,1,,185.65610859728505,186.0,157.0,227.0,41030.0,14.14629155602814,0.04393312032391465,1.1046278988153568
ID87695,87695,4,0.9357734322547913,438.9522913482417,505.30713336220515,0.0,1.0,1,7.5,1,,179.68778280542986,177.0,160.0,243.0,39711.0,13.157689941899289,0.019027998302868082,0.5100067038962686
ID87694,87694,5,1.0785956382751465,834.5616370825284,316.926458265312,0.0,1.0,1,7.5,1,,185.02714932126696,182.0,161.0,230.0,40891.0,12.976874028978068,0.021506838465506214,0.6003861421367702
ID87665,87665,5,1.0530078411102295,832.8942187465528,322.1384537990392,0.0,2.0,2,7.5,1,,184.92307692307693,183.0,161.0,258.0,40868.0,13.654784760410791,0.021348911311736656,0.5661582636720143
ID87664,87664,8,0.7904257774353027,10.923647475905616,206.0814955390755,0.0,2.0,2,7.5,1,,149.50226244343892,147.0,132.0,183.0,33040.0,9.25822702170107,0.025447499388967988,0.8014595660571461
ID87667,87667,7,0.9900642037391663,817.7756186157868,525.8699420309852,0.0,2.0,2,7.5,1,,189.62443438914028,186.0,167.0,264.0,41907.0,14.43383462788021,0.017486577915411416,0.45156337179499306
ID87666,87666,4,1.4993631839752197,439.3559025926164,501.1499476425086,0.0,2.0,2,7.5,1,,184.4343891402715,180.0,161.0,374.0,40760.0,25.07283015559906,0.03217697060456168,0.45862690344866863
ID87669,87669,9,0.7444868087768555,292.7576760601009,774.4483617545534,0.0,2.0,2,7.5,1,,178.4660633484163,178.0,162.0,198.0,39441.0,6.935742562038891,0.027951704033045536,1.3993561253337008
ID87668,87668,6,2.251941442489624,1051.6079042751655,743.1514988808926,0.0,2.0,2,7.5,1,,202.06334841628959,197.0,170.0,271.0,44656.0,20.44494971226746,0.056201325369077855,1.0517955856817867
