LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID29928,29928,3,1.1867964267730713,1164.542038331339,278.21877445741495,0.0,0.0,0,7.5,1,,217.30316742081448,216.0,187.0,268.0,48024.0,13.60292210967345,0.0225593454632209,0.7048582928340892
ID29929,29929,4,0.8549412488937378,1502.0472264661955,335.5094398698069,0.0,0.0,0,7.5,1,,212.2579185520362,213.0,193.0,238.0,46909.0,8.34492187515419,0.021339808429137692,1.0628987061380255
ID29930,29930,5,0.7838224172592163,1101.752222021287,352.99371519200537,0.0,0.0,0,7.5,1,,220.55203619909503,220.0,191.0,250.0,48742.0,8.580276426917719,0.02143483950243915,1.0788209135781568
ID29931,29931,6,0.6514602899551392,1368.8884718260606,534.2824083939771,0.0,0.0,0,7.5,1,,213.34841628959276,213.0,193.0,250.0,47150.0,8.558932586830865,0.014318087922887185,0.703737458300063
ID29932,29932,7,0.7134183049201965,1414.7617783413377,626.455924008243,0.0,0.0,0,7.5,1,,211.9547511312217,212.0,191.0,234.0,46842.0,8.564076002622343,0.013789378725380105,0.6732705245311889
ID29933,29933,8,0.8471835255622864,608.6247819581362,653.5771524648537,0.0,0.0,0,7.5,1,,217.32579185520362,217.0,196.0,253.0,48029.0,9.669667425517549,0.016382396516759795,0.7245194148855191
ID29934,29934,9,1.3273478746414185,1342.604519938078,702.3261803954972,0.0,0.0,0,7.5,1,,217.01357466063348,213.0,188.0,266.0,47960.0,14.542876931214328,0.02607839028069044,0.7585195989962142
ID29935,29935,10,1.759159803390503,179.4100372525449,715.6671417726968,0.0,0.0,0,7.5,1,,203.61990950226243,198.0,173.0,261.0,45000.0,17.363241266091425,0.03926369741679983,0.8861043587549079
ID29936,29936,0,1.6503307819366455,1542.387710260386,898.0076040117029,0.0,0.0,0,7.5,1,,210.4162895927602,204.0,185.0,411.0,46502.0,29.744189757869,0.024219291637153677,0.3345612944488619
ID29937,29937,1,0.8640648722648621,387.50695941695824,921.4788147062663,0.0,0.0,0,7.5,1,,211.12217194570135,211.0,190.0,248.0,46658.0,8.086942718601179,0.02547027003266545,1.2968506054782627
ID29938,29938,,0.7314193248748779,1529.2619421204215,988.528062773067,0.0,0.0,0,7.5,1,,203.16742081447964,202.0,180.0,241.0,44900.0,10.228037541675747,0.012483850021601621,0.4898376777287552
ID29939,29939,2,1.3145216703414917,895.6455948859555,992.7910681019194,0.0,0.0,0,7.5,1,,217.8235294117647,216.0,189.0,270.0,48139.0,15.12465140801281,0.023451854131791416,0.6600231669185421
ID29940,29940,3,1.1288710832595825,1169.6477676132954,273.9755445588145,0.0,1.0,1,7.5,1,,216.51131221719456,214.0,189.0,264.0,47849.0,13.449099618301087,0.021252527839584204,0.6700308922488956
ID29941,29941,4,0.82166588306427,1504.1863740166439,347.0812686682269,0.0,1.0,1,7.5,1,,211.50226244343892,211.0,193.0,233.0,46742.0,8.622183036367794,0.02136493004911039,1.026238512018445
ID29942,29942,5,0.682537317276001,1099.8323413363332,353.2753163744461,0.0,1.0,1,7.5,1,,218.98190045248867,219.0,196.0,240.0,48395.0,8.637636356458225,0.017797766836850828,0.8866399976813061
ID29943,29943,6,0.6689293384552002,1365.9562686750942,534.7645527773761,0.0,1.0,1,7.5,1,,212.88235294117646,212.0,192.0,236.0,47047.0,8.765879403187675,0.0148588595861424,0.7111381820183609
ID29944,29944,7,0.7191221117973328,1414.99160146645,625.5362557220906,0.0,1.0,1,7.5,1,,211.68325791855204,211.0,188.0,240.0,46782.0,9.55506245027369,0.014018315215905443,0.6125379471449531
ID29945,29945,8,1.1935571432113647,604.385378523659,657.0965222024536,0.0,1.0,1,7.5,1,,219.71493212669682,217.0,193.0,269.0,48557.0,13.73566041103195,0.021884459809456164,0.6851316966851242
ID29946,29946,9,1.3196431398391724,1341.1000752589373,695.5897080213035,0.0,1.0,1,7.5,1,,216.66515837104072,213.0,189.0,282.0,47883.0,15.396756110454069,0.02438569007214476,0.6699793091082583
ID29947,29947,10,1.172060489654541,176.49477366709664,714.3341750283846,0.0,1.0,1,7.5,1,,198.07692307692307,196.0,175.0,231.0,43775.0,11.638434037839748,0.027641096573773824,0.9155522444815285
ID29948,29948,0,1.0526891946792603,1543.711618229954,896.6782720134504,0.0,1.0,1,7.5,1,,205.24886877828055,202.0,182.0,295.0,45360.0,15.570267735362947,0.01593248292221085,0.41345981177129
ID29949,29949,1,0.9820393919944763,386.66789705922065,919.5173528285122,0.0,1.0,1,7.5,1,,210.15837104072398,210.0,176.0,235.0,46445.0,8.924291928513966,0.026521494197128126,1.2168382745387398
ID29950,29950,2,1.481555700302124,892.7043135227273,995.3513108084014,0.0,1.0,1,7.5,1,,219.0497737556561,216.0,188.0,278.0,48410.0,16.080260695632067,0.026345257988478133,0.6993405246542405
ID29984,29984,2,1.268636703491211,891.8583324406133,997.4182646556897,0.0,2.0,2,7.5,1,,217.75113122171945,214.0,195.0,260.0,48123.0,13.832654418439555,0.022311456568304213,0.6871152446739257
ID29975,29975,3,1.6261065006256104,1172.3170546720412,274.67224446097833,0.0,2.0,2,7.5,1,,219.28506787330318,214.0,186.0,334.0,48462.0,22.16744549230838,0.02763463762294358,0.5320328468220041
