LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID576488,576488,0,0.4812612235546112,805.9283565904534,723.077807105284,0.0,0.0,0,7.5,1,,175.7420814479638,176.0,158.0,201.0,38839.0,7.43281992325375,0.008838842617832325,0.4143103246376426
ID576489,576489,1,0.8525398373603821,618.3556688906308,958.8256308758129,0.0,0.0,0,7.5,1,,177.53846153846155,177.0,156.0,210.0,39236.0,10.062740246013568,0.0237251571344325,0.8177713801447848
ID576490,576490,2,0.4871380627155304,0.0,995.0,0.0,0.0,0,7.5,1,,121.25339366515837,145.0,0.0,163.0,26797.0,49.551708985974294,0.14482569116442642,0.6191152528900077
ID576480,576480,3,0.7885557413101196,1026.113125002454,394.94021136302376,0.0,0.0,0,7.5,1,,176.58823529411765,175.0,153.0,221.0,39026.0,10.66462491599824,0.016440147380340775,0.5356363878934249
ID576481,576481,4,1.278756022453308,642.2740076401479,398.03002769396295,0.0,0.0,0,7.5,1,,181.0950226244344,180.0,155.0,227.0,40022.0,11.23650797520113,0.03790637336781686,1.1772242574379284
ID576482,576482,5,0.9153133034706116,1061.5961296941618,445.26364642231334,0.0,0.0,0,7.5,1,,178.0,177.0,160.0,202.0,39338.0,9.134350750675367,0.02250051468483712,0.857632501503937
ID576483,576483,6,0.902449369430542,1409.5048465109016,480.3933388560927,0.0,0.0,0,7.5,1,,176.85067873303169,175.0,156.0,216.0,39084.0,11.013642861591347,0.022709958733494778,0.7131314620631664
ID576484,576484,7,0.6268540024757385,1077.4036316431188,528.9781123348134,0.0,0.0,0,7.5,1,,177.34841628959276,177.0,158.0,208.0,39194.0,8.561587561391272,0.014172835672733327,0.5789589678831565
ID576485,576485,8,0.9317944049835205,406.84203060970356,560.9487733572454,0.0,0.0,0,7.5,1,,174.8868778280543,175.0,146.0,197.0,38650.0,9.21958684385422,0.026617438611826853,0.9836336663955493
ID576486,576486,9,1.457047939300537,602.6909195700993,590.8851164626657,0.0,0.0,0,7.5,1,,181.31674208144796,177.0,153.0,239.0,40071.0,16.351234044935744,0.031965864993473835,0.686971146438386
ID576487,576487,10,1.3292150497436523,836.4636880482326,616.674741221545,0.0,0.0,0,7.5,1,,182.14027149321268,179.0,156.0,238.0,40253.0,15.010398151056124,0.02860302192776388,0.6748509853491417
ID576475,576475,11,0.6151890158653259,121.99283232809587,34.58738956588821,0.0,0.0,0,7.5,1,,148.3846153846154,148.0,130.0,183.0,32793.0,8.194318345466765,0.01444407924223864,0.5156651593676626
ID576476,576476,12,0.5308712720870972,595.6006151502436,103.54942696222619,0.0,0.0,0,7.5,1,,165.8235294117647,165.0,149.0,192.0,36647.0,7.554684773839707,0.011253515155620121,0.48852631041305233
ID576477,576477,13,0.7603731155395508,306.08487650044935,163.68140399895722,0.0,0.0,0,7.5,1,,163.4660633484163,162.0,144.0,203.0,36126.0,10.027461265561307,0.017789533737876735,0.5698665839072866
ID576478,576478,14,1.121539831161499,1571.3799256877555,261.66558623772124,0.0,0.0,0,7.5,1,,170.16289592760182,167.0,149.0,239.0,37606.0,14.340048140309449,0.02481230668610593,0.5746019067650828
ID576479,576479,15,0.7450522184371948,435.140601420172,313.0283877031299,0.0,0.0,0,7.5,1,,169.78280542986425,169.0,149.0,203.0,37522.0,9.297011900369212,0.01859480549768052,0.6667614726514439
ID576424,576424,10,1.3631432056427002,837.0991908397183,614.042643298486,0.0,1.0,1,7.5,1,,183.03619909502262,180.0,156.0,227.0,40451.0,14.37195982195251,0.03034397401453147,0.7501380795199876
ID576425,576425,0,0.4679790735244751,804.7747868096033,720.4911171370917,0.0,1.0,1,7.5,1,,174.81900452488688,174.0,149.0,198.0,38635.0,8.692410530037494,0.008153581606834085,0.3253120378813878
ID576426,576426,1,0.8014872074127197,617.9124160181661,950.5367770352589,0.0,1.0,1,7.5,1,,176.84162895927602,176.0,152.0,211.0,39082.0,10.164433761802321,0.022674045871439612,0.7714772060146292
ID576427,576427,2,0.4840388596057892,0.0,996.0,0.0,1.0,1,7.5,1,,121.38009049773756,144.0,0.0,165.0,26825.0,49.622945224150534,0.14515740941972738,0.6201102887051119
ID576416,576416,15,0.6688393950462341,437.5956436482408,313.0245219854254,0.0,1.0,1,7.5,1,,169.28506787330318,168.0,152.0,204.0,37412.0,8.974975493504626,0.01643332505924623,0.609904624929164
ID576417,576417,3,0.8376842141151428,1026.061449453496,395.03006697948325,0.0,1.0,1,7.5,1,,176.58823529411765,175.0,152.0,219.0,39026.0,11.177804592495852,0.017730556353214744,0.5504587737142661
ID576418,576418,4,1.2433974742889404,642.577041787865,398.23246503911025,0.0,1.0,1,7.5,1,,181.54298642533936,181.0,161.0,230.0,40121.0,10.90346934548801,0.037048742625601594,1.1896496145081321
ID576419,576419,5,0.9104785919189453,1060.867243630779,445.6427684586417,0.0,1.0,1,7.5,1,,177.86877828054298,177.0,155.0,214.0,39309.0,9.556814458360382,0.021906099161634485,0.7979407072055175
ID576420,576420,6,0.8890257477760315,1408.6704769796233,478.35742549680594,0.0,1.0,1,7.5,1,,176.0814479638009,174.0,154.0,213.0,38914.0,11.657329714634008,0.0208676101147348,0.6175154179517688
